"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5002","190","oort_official_ogpm_eps_1","eps_1","3.7915782928466797"
"0.05","5002","199","oort_official_ogpm_eps_1","eps_1","3.8057918548583984"
"0.05","5002","0","hics2024_source_adapted_ogpm_eps_1","eps_1","2.658990669250488"
"0.05","5002","10","hics2024_source_adapted_ogpm_eps_1","eps_1","2.7174551010131838"
"0.05","5002","20","hics2024_source_adapted_ogpm_eps_1","eps_1","2.7843713760375977"
"0.05","5002","30","hics2024_source_adapted_ogpm_eps_1","eps_1","2.7784117698669433"
"0.05","5002","40","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8734193801879884"
"0.05","5002","50","hics2024_source_adapted_ogpm_eps_1","eps_1","3.831229019165039"
"0.05","5002","60","hics2024_source_adapted_ogpm_eps_1","eps_1","3.6818694114685058"
"0.05","5002","70","hics2024_source_adapted_ogpm_eps_1","eps_1","4.014047050476075"
"0.05","5002","80","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8707308769226074"
"0.05","5002","90","hics2024_source_adapted_ogpm_eps_1","eps_1","3.6849842071533203"
"0.05","5002","100","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8401527404785156"
"0.05","5002","110","hics2024_source_adapted_ogpm_eps_1","eps_1","4.036660766601562"
"0.05","5002","120","hics2024_source_adapted_ogpm_eps_1","eps_1","3.911667060852051"
"0.05","5002","130","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8609580993652344"
"0.05","5002","140","hics2024_source_adapted_ogpm_eps_1","eps_1","3.733086585998535"
"0.05","5002","150","hics2024_source_adapted_ogpm_eps_1","eps_1","3.940409851074219"
"0.05","5002","160","hics2024_source_adapted_ogpm_eps_1","eps_1","3.6808277130126954"
"0.05","5002","170","hics2024_source_adapted_ogpm_eps_1","eps_1","3.8462945938110353"
"0.05","5002","180","hics2024_source_adapted_ogpm_eps_1","eps_1","3.693981170654297"
"0.05","5002","190","hics2024_source_adapted_ogpm_eps_1","eps_1","3.707976150512695"
"0.05","5002","199","hics2024_source_adapted_ogpm_eps_1","eps_1","3.667634201049805"
"0.05","5002","0","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.658990669250488"
"0.05","5002","10","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.7174551010131838"
"0.05","5002","20","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.7843713760375977"
"0.05","5002","30","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","2.777719020843506"
"0.05","5002","40","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8646846771240235"
"0.05","5002","50","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.8449630737304688"
"0.05","5002","60","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.715020847320557"
"0.05","5002","70","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","4.031982421875"
"0.05","5002","80","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.9188504219055176"
"0.05","5002","90","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7975442886352537"
